Akaa, Kylmäkosken kirkko
Pieksämäki, Virtasalmen kirkko
Pielavesi, Apostolien Pietarin ja Paavalin kirkko
Pielavesi, Pielaveden kirkko
Pihtipudas, Pihtiputaan kirkko
Piikkiö, Pyhän Nikolauksen kirkko
Pirkkala, Pirkkalan kirkko
Pirkkala, Pirkkalan Vanha kirkko
Polvijärvi, Polvijärven Pyhän Johannes Kastajan kirkko
Pomarkku, Pomarkun kirkko
Pomarkku, Pomarkun vanha puukirkko
Pori, Ahlaisten kirkko
Pori, Apostoli Johannes Teologin kirkko
Pori, Keski-Porin kirkko
Pori, Reposaaren kirkko
Posio, Posion kirkko
Pudasjärvi, Pudasjärven kirkko
Puolanka, Puolangan kirkko
Puumala, Puumalan Johannes Kastajan kirkko
Pyhtää, Pyhän Henrikin kirkko
Pyhäjoki, Pyhäjoen kirkko
Pyhäranta, Pyhärannan kirkko
Pälkäne, Luopioisten kirkko
Pälkäne, Pälkäneen kirkko
Raahe, Pattijoen Metsäkirkko
Raahe, Pyhän Kolminaiuden kirkko
Raahe, Saloisten Pyhän Olavin kirkko
Raahe, Vihannin Sofia Magdalenan kirkko
Raasepori, Pyhän Marian kirkko
Raasepori, Snappertunan kirkko
Raasepori, Tammisaaren kirkko
Raisio, Raision Pyhän Martin kirkko
Rauma, Pyhän Ristin kirkko
Ristijärvi, Ristijärven kirkko
Rovaniemi, Rovaniemen kirkko
Ruokolahti, Ruokolahden kirkko
Saarijärvi, Saarijärven kirkko
Salo, Halikon kirkko
Salo, Perniön Pyhän Laurin kirkko
Salo, Teijon kirkko
Sastamala, Sastamalan Pyhän Marian kirkko
Sauvo, Karunan kirkko
Sauvo, Sauvon Pyhän Klemensin kirkko
Savitaipale, Savitaipaleen kirkko
Savonlinna, Kerimäen kirkko
Savonlinna, Savonlinnan Tuomiokirkko
Seinäjoki, Lakeuden Risti
Seinäjoki, Nurmon kirkko
Seinäjoki, Peräseinäjoen kirkko
Seinäjoki, Ylistaron kirkko
Sievi, Sievin kirkko
Siikajoki, Revonlahden kirkko
Siikalatva, Piippolan kirkko
Siilinjärvi, Siilinjärvi, Kristuksen tulemisen kirkko
Sipoo, Sipoon kirkko
Sipoo, Sipoon vanha kirkko
Soini, Soinin kirkko
Somero, Someron kirkko
Sotkamo, Sotkamon kirkko
Suomussalmi, Suomussalmen kirkko
Suomussalmi, Vuokin kirkko
Sysmä, Sysmän Pyhän Olavin kirkko
Taivalkoski, Taivalkosken kirkko
Taivassalo, Taivassalon kirkko
Tammela, Tammelan kirkko
Tampere, Aleksanterin kirkko
Tampere, Lasten katedraali  Finlaysonin kirkko
Tampere, Pyhien Aleksanteri Nevalaisen ja Nikolaoksen kirkko
Tervo, Tervon kirkko
Tervola, Tervolan Isokirkko
Tervoola, Tervolan Vanha kirkko
Toholampi, Toholammin kirkko
Toivakka, Toivakan kirkko
Tornio, Alatornion kirkko
Tornio, Tornion kirkko
Turku, Maarian kirkko
Turku, Mikaelinkirkko
Turku, Pyhän Katariinan kirkko
Turku, Turun tuomiokirkko
Tuusniemi, Tuusniemen kirkko
Tuula, Tuusulan kirkko
Ulvila, Ulvilan Pyhän Olavin kirkko
Urjala, Urjalan kirkko
Utajärvi, Utajärven kirkko
Utsjoki, Utsjoen kirkko
